x,y
-12.540000,43918538.157845
-12.510000,42416867.053265
-12.480000,40966070.196933
-12.450000,39564438.133353
-12.420000,38210318.427708
-12.390000,36902113.776353
-12.360000,35638280.179559
-12.330000,34417325.174456
-12.300000,33237806.126208
-12.270000,32098328.575504
-12.240000,30997544.640531
-12.210000,29934151.471632
-12.180000,28906889.756924
-12.150000,27914542.277213
-12.120000,26955932.508571
-12.090000,26029923.271031
-12.060000,25135415.421876
-12.030000,24271346.592058
-12.000000,23436689.964337
-11.970000,22630453.091761
-11.940000,21851676.755177
-11.910000,21099433.858475
-11.880000,20372828.360336
-11.850000,19670994.241284
-11.820000,18993094.504874
-11.790000,18338320.211903
-11.760000,17705889.546560
-11.730000,17095046.913449
-11.700000,16505062.064495
-11.670000,15935229.254723
-11.640000,15384866.425984
-11.610000,14853314.417691
-11.580000,14339936.203690
-11.550000,13844116.154392
-11.520000,13365259.323348
-11.490000,12902790.757453
-11.460000,12456154.830004
-11.430000,12024814.595859
-11.400000,11608251.167970
-11.370000,11205963.114587
-11.340000,10817465.876445
-11.310000,10442291.203283
-11.280000,10079986.609055
-11.250000,9730114.845217
-11.220000,9392253.391492
-11.190000,9065993.963540
-11.160000,8750942.036967
-11.130000,8446716.387151
-11.100000,8152948.644346
-11.070000,7869282.863560
-11.040000,7595375.108737
-11.010000,7330893.050753
-10.980000,7075515.578770
-10.950000,6828932.424523
-10.920000,6590843.799097
-10.890000,6360960.041779
-10.860000,6139001.280607
-10.830000,5924697.104206
-10.800000,5717786.244548
-10.770000,5518016.270273
-10.740000,5325143.290232
-10.710000,5138931.666888
-10.680000,4959153.739282
-10.650000,4785589.555215
-10.620000,4618026.612368
-10.590000,4456259.608050
-10.560000,4300090.197283
-10.530000,4149326.758967
-10.500000,4003784.169836
-10.470000,3863283.585963
-10.440000,3727652.231554
-10.410000,3596723.194797
-10.380000,3470335.230519
-10.350000,3348332.569444
-10.320000,3230564.733816
-10.290000,3116886.359189
-10.260000,3007157.022166
-10.230000,2901241.073901
-10.200000,2799007.479170
-10.170000,2700329.660819
-10.140000,2605085.349421
-10.110000,2513156.437961
-10.080000,2424428.841385
-10.050000,2338792.360852
-10.020000,2256140.552531
-9.990000,2176370.600793
-9.960000,2099383.195649
-9.930000,2025082.414300
-9.900000,1953375.606651
-9.870000,1884173.284672
-9.840000,1817389.015458
-9.810000,1752939.317890
-9.780000,1690743.562746
-9.750000,1630723.876183
-9.720000,1572805.046446
-9.690000,1516914.433714
-9.660000,1462981.882974
-9.630000,1410939.639819
-9.600000,1360722.269084
-9.570000,1312266.576204
-9.540000,1265511.531229
-9.510000,1220398.195384
-9.480000,1176869.650104
-9.450000,1134870.928459
-9.420000,1094348.948882
-9.390000,1055252.451133
-9.360000,1017531.934413
-9.330000,981139.597570
-9.300000,946029.281314
-9.270000,912156.412382
-9.240000,879477.949582
-9.210000,847952.331665
-9.180000,817539.426941
-9.150000,788200.484611
-9.120000,759898.087725
-9.090000,732596.107745
-9.060000,706259.660625
-9.030000,680855.064389
-9.000000,656349.798134
-8.970000,632712.462419
-8.940000,609912.740997
-8.910000,587921.363836
-8.880000,566710.071397
-8.850000,546251.580111
-8.820000,526519.549035
-8.790000,507488.547628
-8.760000,489134.024627
-8.730000,471432.277966
-8.700000,454360.425724
-8.670000,437896.378054
-8.640000,422018.810062
-8.610000,406707.135608
-8.580000,391941.481993
-8.550000,377702.665513
-8.520000,363972.167827
-8.490000,350732.113147
-8.460000,337965.246183
-8.430000,325654.910856
-8.400000,313785.029718
-8.370000,302340.084081
-8.340000,291305.094821
-8.310000,280665.603834
-8.280000,270407.656118
-8.250000,260517.782472
-8.220000,250982.982782
-8.190000,241790.709876
-8.160000,232928.853924
-8.130000,224385.727377
-8.100000,216150.050419
-8.070000,208210.936908
-8.040000,200557.880804
-8.010000,193180.743054
-7.980000,186069.738933
-7.950000,179215.425807
-7.920000,172608.691323
-7.890000,166240.741994
-7.860000,160103.092185
-7.830000,154187.553462
-7.800000,148486.224319
-7.770000,142991.480245
-7.740000,137695.964139
-7.710000,132592.577050
-7.680000,127674.469231
-7.650000,122935.031507
-7.620000,118367.886931
-7.590000,113966.882731
-7.560000,109726.082533
-7.530000,105639.758847
-7.500000,101702.385813
-7.470000,97908.632201
-7.440000,94253.354641
-7.410000,90731.591096
-7.380000,87338.554551
-7.350000,84069.626925
-7.320000,80920.353189
-7.290000,77886.435689
-7.260000,74963.728660
-7.230000,72148.232934
-7.200000,69436.090826
-7.170000,66823.581201
-7.140000,64307.114705
-7.110000,61883.229165
-7.080000,59548.585146
-7.050000,57299.961663
-7.020000,55134.252037
-6.990000,53048.459899
-6.960000,51039.695327
-6.930000,49105.171122
-6.900000,47242.199210
-6.870000,45448.187166
-6.840000,43720.634862
-6.810000,42057.131230
-6.780000,40455.351137
-6.750000,38913.052368
-6.720000,37428.072710
-6.690000,35998.327149
-6.660000,34621.805147
-6.630000,33296.568027
-6.600000,32020.746443
-6.570000,30792.537942
-6.540000,29610.204601
-6.510000,28472.070760
-6.480000,27376.520822
-6.450000,26321.997137
-6.420000,25306.997953
-6.390000,24330.075447
-6.360000,23389.833818
-6.330000,22484.927443
-6.300000,21614.059113
-6.270000,20775.978309
-6.240000,19969.479556
-6.210000,19193.400825
-6.180000,18446.621994
-6.150000,17728.063362
-6.120000,17036.684214
-6.090000,16371.481439
-6.060000,15731.488193
-6.030000,15115.772612
-6.000000,14523.436566
-5.970000,13953.614461
-5.940000,13405.472080
-5.910000,12878.205467
-5.880000,12371.039847
-5.850000,11883.228586
-5.820000,11414.052189
-5.790000,10962.817330
-5.760000,10528.855918
-5.730000,10111.524192
-5.700000,9710.201857
-5.670000,9324.291243
-5.640000,8953.216490
-5.610000,8596.422773
-5.580000,8253.375546
-5.550000,7923.559816
-5.520000,7606.479437
-5.490000,7301.656440
-5.460000,7008.630376
-5.430000,6726.957686
-5.400000,6456.211097
-5.370000,6195.979030
-5.340000,5945.865042
-5.310000,5705.487275
-5.280000,5474.477933
-5.250000,5252.482774
-5.220000,5039.160621
-5.190000,4834.182889
-5.160000,4637.233129
-5.130000,4448.006594
-5.100000,4266.209809
-5.070000,4091.560167
-5.040000,3923.785534
-5.010000,3762.623868
-4.980000,3607.822855
-4.950000,3459.139553
-4.920000,3316.340056
-4.890000,3179.199158
-4.860000,3047.500044
-4.830000,2921.033980
-4.800000,2799.600020
-4.770000,2683.004720
-4.740000,2571.061870
-4.710000,2463.592221
-4.680000,2360.423237
-4.650000,2261.388851
-4.620000,2166.329219
-4.590000,2075.090504
-4.560000,1987.524646
-4.530000,1903.489156
-4.500000,1822.846909
-4.470000,1745.465947
-4.440000,1671.219290
-4.410000,1599.984753
-4.380000,1531.644768
-4.350000,1466.086215
-4.320000,1403.200257
-4.290000,1342.882183
-4.260000,1285.031256
-4.230000,1229.550564
-4.200000,1176.346880
-4.170000,1125.330525
-4.140000,1076.415239
-4.110000,1029.518048
-4.080000,984.559149
-4.050000,941.461789
-4.020000,900.152151
-3.990000,860.559244
-3.960000,822.614803
-3.930000,786.253179
-3.900000,751.411251
-3.870000,718.028322
-3.840000,686.046036
-3.810000,655.408286
-3.780000,626.061131
-3.750000,597.952716
-3.720000,571.033191
-3.690000,545.254641
-3.660000,520.571005
-3.630000,496.938013
-3.600000,474.313118
-3.570000,452.655428
-3.540000,431.925645
-3.510000,412.086004
-3.480000,393.100218
-3.450000,374.933419
-3.420000,357.552106
-3.390000,340.924090
-3.360000,325.018449
-3.330000,309.805477
-3.300000,295.256638
-3.270000,281.344520
-3.240000,268.042797
-3.210000,255.326182
-3.180000,243.170391
-3.150000,231.552101
-3.120000,220.448918
-3.090000,209.839338
-3.060000,199.702714
-3.030000,190.019223
-3.000000,180.769832
-2.970000,171.936274
-2.940000,163.501009
-2.910000,155.447206
-2.880000,147.758707
-2.850000,140.420008
-2.820000,133.416227
-2.790000,126.733086
-2.760000,120.356884
-2.730000,114.274474
-2.700000,108.473244
-2.670000,102.941096
-2.640000,97.666424
-2.610000,92.638094
-2.580000,87.845430
-2.550000,83.278192
-2.520000,78.926560
-2.490000,74.781118
-2.460000,70.832838
-2.430000,67.073063
-2.400000,63.493496
-2.370000,60.086183
-2.340000,56.843499
-2.310000,53.758137
-2.280000,50.823095
-2.250000,48.031663
-2.220000,45.377409
-2.190000,42.854176
-2.160000,40.456060
-2.130000,38.177409
-2.100000,36.012809
-2.070000,33.957075
-2.040000,32.005239
-2.010000,30.152548
-1.980000,28.394450
-1.950000,26.726585
-1.920000,25.144781
-1.890000,23.645047
-1.860000,22.223560
-1.830000,20.876663
-1.800000,19.600858
-1.770000,18.392796
-1.740000,17.249277
-1.710000,16.167236
-1.680000,15.143745
-1.650000,14.176003
-1.620000,13.261330
-1.590000,12.397168
-1.560000,11.581067
-1.530000,10.810690
-1.500000,10.083800
-1.470000,9.398262
-1.440000,8.752035
-1.410000,8.143169
-1.380000,7.569803
-1.350000,7.030158
-1.320000,6.522537
-1.290000,6.045320
-1.260000,5.596959
-1.230000,5.175978
-1.200000,4.780968
-1.170000,4.410586
-1.140000,4.063548
-1.110000,3.738633
-1.080000,3.434674
-1.050000,3.150560
-1.020000,2.885232
-0.990000,2.637679
-0.960000,2.406939
-0.930000,2.192097
-0.900000,1.992279
-0.870000,1.806653
-0.840000,1.634429
-0.810000,1.474852
-0.780000,1.327208
-0.750000,1.190813
-0.720000,1.065018
-0.690000,0.949208
-0.660000,0.842796
-0.630000,0.745224
-0.600000,0.655963
-0.570000,0.574510
-0.540000,0.500388
-0.510000,0.433142
-0.480000,0.372344
-0.450000,0.317583
-0.420000,0.268474
-0.390000,0.224649
-0.360000,0.185759
-0.330000,0.151476
-0.300000,0.121487
-0.270000,0.095496
-0.240000,0.073224
-0.210000,0.054405
-0.180000,0.038790
-0.150000,0.026141
-0.120000,0.016236
-0.090000,0.008863
-0.060000,0.003823
-0.030000,0.000927
0.000000,0.000000
0.030000,0.000873
0.060000,0.003390
0.090000,0.007403
0.120000,0.012772
0.150000,0.019366
0.180000,0.027063
0.210000,0.035747
0.240000,0.045310
0.270000,0.055650
0.300000,0.066674
0.330000,0.078291
0.360000,0.090419
0.390000,0.102980
0.420000,0.115903
0.450000,0.129120
0.480000,0.142568
0.510000,0.156189
0.540000,0.169929
0.570000,0.183739
0.600000,0.197572
0.630000,0.211386
0.660000,0.225140
0.690000,0.238800
0.720000,0.252332
0.750000,0.265706
0.780000,0.278894
0.810000,0.291871
0.840000,0.304615
0.870000,0.317104
0.900000,0.329321
0.930000,0.341250
0.960000,0.352874
0.990000,0.364182
1.020000,0.375163
1.050000,0.385806
1.080000,0.396104
1.110000,0.406050
1.140000,0.415637
1.170000,0.424861
1.200000,0.433720
1.230000,0.442209
1.260000,0.450329
1.290000,0.458078
1.320000,0.465457
1.350000,0.472465
1.380000,0.479106
1.410000,0.485381
1.440000,0.491293
1.470000,0.496846
1.500000,0.502043
1.530000,0.506888
1.560000,0.511387
1.590000,0.515544
1.620000,0.519365
1.650000,0.522856
1.680000,0.526022
1.710000,0.528870
1.740000,0.531406
1.770000,0.533636
1.800000,0.535568
1.830000,0.537209
1.860000,0.538565
1.890000,0.539644
1.920000,0.540452
1.950000,0.540997
1.980000,0.541287
2.010000,0.541328
2.040000,0.541127
2.070000,0.540693
2.100000,0.540033
2.130000,0.539153
2.160000,0.538061
2.190000,0.536764
2.220000,0.535269
2.250000,0.533584
2.280000,0.531714
2.310000,0.529668
2.340000,0.527452
2.370000,0.525072
2.400000,0.522535
2.430000,0.519849
2.460000,0.517018
2.490000,0.514050
2.520000,0.510951
2.550000,0.507726
2.580000,0.504382
2.610000,0.500925
2.640000,0.497360
2.670000,0.493692
2.700000,0.489928
2.730000,0.486073
2.760000,0.482131
2.790000,0.478109
2.820000,0.474010
2.850000,0.469840
2.880000,0.465604
2.910000,0.461306
2.940000,0.456950
2.970000,0.452541
3.000000,0.448084
3.030000,0.443581
3.060000,0.439038
3.090000,0.434457
3.120000,0.429844
3.150000,0.425200
3.180000,0.420531
3.210000,0.415839
3.240000,0.411127
3.270000,0.406399
3.300000,0.401658
3.330000,0.396906
3.360000,0.392147
3.390000,0.387383
3.420000,0.382618
3.450000,0.377852
3.480000,0.373090
3.510000,0.368333
3.540000,0.363583
3.570000,0.358844
3.600000,0.354115
3.630000,0.349401
3.660000,0.344702
3.690000,0.340021
3.720000,0.335359
3.750000,0.330718
3.780000,0.326100
3.810000,0.321505
3.840000,0.316936
3.870000,0.312394
3.900000,0.307879
3.930000,0.303395
3.960000,0.298940
3.990000,0.294517
4.020000,0.290127
4.050000,0.285771
4.080000,0.281448
4.110000,0.277162
4.140000,0.272911
4.170000,0.268698
4.200000,0.264522
4.230000,0.260384
4.260000,0.256286
4.290000,0.252227
4.320000,0.248208
4.350000,0.244229
4.380000,0.240291
4.410000,0.236395
4.440000,0.232540
4.470000,0.228728
4.500000,0.224957
4.530000,0.221229
4.560000,0.217544
4.590000,0.213901
4.620000,0.210302
4.650000,0.206746
4.680000,0.203233
4.710000,0.199763
4.740000,0.196336
4.770000,0.192953
4.800000,0.189613
4.830000,0.186317
4.860000,0.183063
4.890000,0.179853
4.920000,0.176686
4.950000,0.173561
4.980000,0.170480
5.010000,0.167440
5.040000,0.164444
5.070000,0.161489
5.100000,0.158576
5.130000,0.155706
5.160000,0.152876
5.190000,0.150088
5.220000,0.147341
5.250000,0.144635
5.280000,0.141969
